time,mag,place,lon,lat,depth,time_days
1999-10-28 15:39:14.900000+00:00,4.4,DEAD SEA REGION,35.0367,30.3971,10.0,610.2721006944445
1999-12-12 22:25:31.800000+00:00,3.3,EGYPT,34.6,28.4,0.0,655.5542407407407
1999-12-11 01:46:41+00:00,3.0,EGYPT,34.7893,29.2965,8.0,653.6939305555555
1999-12-09 10:56:11.800000+00:00,3.1,EGYPT,34.3024,29.9544,8.0,652.0755370370371
1999-12-08 03:35:47.500000+00:00,3.7,EGYPT,34.782,29.2809,2.0,650.7697002314815
1999-12-03 14:07:10.500000+00:00,4.2,EGYPT,34.9091,29.3578,20.0,646.2081608796296
1999-11-16 02:39:11.300000+00:00,3.2,DEAD SEA REGION,35.7655,31.1888,21.5,628.7303923611111
1999-12-28 12:05:10.200000+00:00,4.5,EGYPT,31.4362,30.1878,27.8,671.1234351851851
1999-12-24 22:58:55.100000+00:00,3.1,EGYPT,34.6508,28.7787,20.0,667.5774270833334
1999-12-24 08:35:47.600000+00:00,3.4,RED SEA,34.8237,27.9551,2.0,666.9780347222222
1999-12-21 14:39:04.100000+00:00,3.3,EGYPT,34.9085,29.2092,21.1,664.2303090277778
1999-12-21 14:36:27.100000+00:00,3.4,EGYPT,34.8021,29.1765,20.0,664.2284918981481
1999-12-19 08:45:28.200000+00:00,4.2,JORDAN-SAUDI ARABIA BORDER REG,35.2838,29.6433,26.1,661.9847546296296
1999-12-19 08:42:47.600000+00:00,3.9,EGYPT,34.9158,29.6056,24.5,661.9828958333334
2000-02-06 10:00:31.400000+00:00,3.0,DEAD SEA REGION,35.1,31.1,0.0,711.036875
2000-02-01 23:58:43.700000+00:00,4.1,EGYPT,34.75,23.71,18.0,706.6189618055555
2000-01-31 11:05:00.900000+00:00,4.3,EGYPT,34.72,25.14,8.6,705.0816608796297
2000-03-08 14:22:29.600000+00:00,4.9,EGYPT,34.7271,29.0805,2.0,742.2187986111112
2000-02-24 05:08:48.100000+00:00,3.4,EGYPT,34.3451,29.4377,2.0,728.8342905092593
2000-02-15 03:00:43+00:00,3.2,EGYPT,34.6978,29.1164,2.0,719.7453425925926
2000-02-15 02:50:35.900000+00:00,4.2,EGYPT,34.5824,29.2377,2.0,719.7383159722223
2000-04-06 06:37:34.300000+00:00,4.2,EGYPT,34.6628,28.8263,2.0,770.8959363425926
2000-03-28 01:03:18.400000+00:00,3.2,DEAD SEA REGION,35.5,31.7,17.0,761.6638078703704
2000-05-18 23:37:23.900000+00:00,4.3,EGYPT,34.87,25.62,15.0,813.6041493055556
2000-07-05 03:33:50.500000+00:00,3.2,DEAD SEA REGION,35.5966,31.4732,10.0,860.7683460648148
2000-06-29 14:44:49.600000+00:00,3.5,EGYPT,31.6501,29.5338,10.0,855.2343078703705
2000-07-22 10:16:30.800000+00:00,3.7,JORDAN-SAUDI ARABIA BORDER REG,35.0446,29.313,10.0,878.0479791666668
2000-09-08 14:15:06+00:00,3.1,DEAD SEA REGION,35.4,31.3,20.0,926.2136643518518
2000-08-14 09:16:35.700000+00:00,3.1,DEAD SEA REGION,35.1,30.8,0.0,901.0063692129629
2000-08-09 21:56:50+00:00,3.2,DEAD SEA REGION,35.6,31.3,7.0,896.5343124999999
2000-10-08 03:05:14+00:00,3.8,WESTERN SAUDI ARABIA,35.209,28.7192,2.0,955.7484791666666
2000-10-08 02:58:28.400000+00:00,4.1,EGYPT,34.7188,28.8172,2.0,955.7437847222222
2000-10-03 03:11:08.200000+00:00,4.8,DEAD SEA REGION,34.4828,30.0681,20.0,950.7525787037036
2000-09-17 10:54:35+00:00,3.8,EGYPT,34.9,29.0,10.0,935.0744166666666
2000-11-03 21:19:05.100000+00:00,4.3,EGYPT,33.032,28.8699,40.0,982.5080983796297
2000-11-01 13:35:21+00:00,3.8,EGYPT,34.7182,28.8659,2.0,980.1860601851852
2000-11-01 13:31:09.400000+00:00,3.1,EGYPT,34.7965,28.8115,2.0,980.1831481481481
2001-01-05 19:00:23+00:00,3.9,EGYPT,33.0853,27.7122,10.0,1045.4117777777776
2000-12-25 01:58:55.600000+00:00,4.6,EGYPT,34.8067,28.4306,2.0,1033.7024328703703
2001-03-07 11:13:42.300000+00:00,3.6,RED SEA,34.3782,26.8886,2.0,1106.087695601852
2001-02-07 03:39:01.300000+00:00,3.8,JORDAN-SAUDI ARABIA BORDER REG,35.2306,29.4095,8.0,1077.7719432870372
2001-04-02 11:29:01.600000+00:00,3.7,EGYPT,30.8023,31.7515,40.0,1132.0983356481481
2001-03-15 15:03:55.800000+00:00,3.6,EGYPT,34.6181,28.7459,5.0,1114.2475740740742
2001-05-02 10:01:19.300000+00:00,3.0,EGYPT,34.5868,28.3021,5.0,1162.037429398148
2001-04-26 20:59:40.300000+00:00,3.6,RED SEA,34.3924,27.6997,10.0,1156.4946168981483
2001-05-11 03:26:51.500000+00:00,3.4,EGYPT,34.564,28.35,12.0,1170.7634965277778
2001-05-10 03:19:33.600000+00:00,3.3,EGYPT,34.861,28.73,10.0,1169.7584282407408
2001-06-12 13:43:26.100000+00:00,4.1,EGYPT,31.1342,29.6772,15.0,1203.1916747685186
2001-07-25 22:59:33+00:00,3.3,DEAD SEA REGION,35.1,31.5,2.0,1246.5778657407407
2001-07-12 09:25:23.100000+00:00,3.4,EGYPT,34.8442,28.7692,5.0,1233.0124733796297
2001-08-20 17:24:34.100000+00:00,3.9,EGYPT,33.943,27.431,10.0,1272.3452395833333
2001-08-20 16:31:50.100000+00:00,3.8,RED SEA,34.096,27.371,10.0,1272.308619212963
2001-09-22 05:34:48.700000+00:00,3.1,DEAD SEA REGION,35.45,31.8893,10.0,1304.8523530092593
2001-09-20 13:18:30.100000+00:00,3.9,SUDAN,35.84,22.86,22.0,1303.1743599537037
2001-11-02 07:59:46.900000+00:00,3.2,EGYPT,33.0196,28.4091,2.0,1345.9530266203703
2001-10-08 11:25:52.300000+00:00,3.9,DEAD SEA REGION,35.2126,30.4808,20.0,1321.096144675926
2001-11-27 21:12:39.600000+00:00,3.4,EGYPT,33.9287,27.5115,2.0,1371.503636574074
2001-11-16 05:01:39+00:00,3.1,EGYPT,34.6516,28.2925,12.6,1359.829324074074
2001-11-14 19:41:16.200000+00:00,3.7,EGYPT,32.3919,30.2811,2.0,1358.4401712962963
